id,user_id,transaction_time,amount,credits_purchased,payment_method,payment_status,invoice_number
1,1143,2025-01-15 10:30:00,500000,5,Transfer Bank,Paid,INV-2025-001
2,75,2024-11-20 14:20:00,1000000,10,Transfer Bank,Paid,INV-2024-112
3,141,2024-12-05 16:15:00,750000,8,Transfer Bank,Paid,INV-2024-125
4,2232,2024-10-10 09:45:00,600000,6,Transfer Bank,Paid,INV-2024-098
5,943,2024-09-15 11:30:00,1000000,10,Credit Card,Paid,INV-2024-087
6,1508,2024-11-01 13:20:00,400000,4,Transfer Bank,Paid,INV-2024-105
7,324,2024-08-20 15:10:00,900000,9,Transfer Bank,Paid,INV-2024-075
8,2022,2024-12-01 10:05:00,300000,3,E-Wallet,Paid,INV-2024-120
9,56,2024-07-10 16:30:00,1250000,12,Transfer Bank,Paid,INV-2024-063
10,14,2024-06-05 14:45:00,700000,7,Transfer Bank,Paid,INV-2024-052
11,1143,2025-12-15 11:20:00,300000,3,E-Wallet,Paid,INV-2025-014
12,75,2025-12-10 09:30:00,1000000,10,Transfer Bank,Paid,INV-2025-012
